A,B,C,D,E,F,G,H,I
28,28,185,70,1.7706,2.1472,4.4177,-13.025,381.38
29,29,185,70,1.7706,0.74123,3.472,-12.806,394.91
30,30,185,70,1.7706,-0.64147,2.5647,-12.642,413.85
31,31,185,70,1.7706,-2.0012,1.7521,-12.501,438.19
32,32,185,70,1.7706,-3.317,1.0789,-12.359,467.75
33,33,185,70,1.7706,-4.5547,0.58396,-12.185,502.04
34,34,185,70,1.7706,-5.7142,0.25942,-11.948,540.26
35,35,185,70,1.7706,-6.8145,0.10363,-11.652,581.27
36,36,185,70,1.7706,-7.8861,0.10701,-11.343,623.66
37,37,185,70,1.7706,-8.9617,0.24851,-11.115,665.89
38,38,185,70,1.7706,-10.064,0.46561,-11.024,706.37
39,39,185,70,1.7706,-11.196,0.72106,-11.079,743.65
40,40,185,70,1.7706,-12.338,1.0152,-11.253,776.47
41,41,185,70,1.7706,-13.429,1.404,-11.529,803.76
42,42,185,70,1.7706,-14.405,1.9419,-11.895,824.66
43,43,185,70,1.7706,-15.219,2.6622,-12.353,838.32
44,44,185,70,1.7706,-15.849,3.573,-12.891,843.8
45,45,185,70,1.7706,-16.284,4.6867,-13.511,839.91
46,46,185,70,1.7706,-16.561,5.982,-14.249,825.14
47,47,185,70,1.7706,-16.714,7.4433,-15.21,797.82
48,48,185,70,1.7706,-16.785,9.042,-16.503,756.45
49,49,185,70,1.7706,-16.802,10.761,-18.167,700.22
50,50,185,70,1.7706,-16.768,12.597,-20.053,629.65
51,51,185,70,1.7706,-16.643,14.583,-22.074,547.11
52,52,185,70,1.7706,-16.368,16.746,-24.274,457.09
53,53,185,70,1.7706,-15.87,19.096,-26.846,365.84
54,54,185,70,1.7706,-15.139,21.603,-29.788,280.5
55,55,185,70,1.7706,-14.171,24.289,-32.836,207.66
56,56,185,70,1.7706,-12.987,27.222,-35.524,151.81
57,57,185,70,1.7706,-11.627,30.493,-37.316,114.36
58,58,185,70,1.7706,-10.184,34.05,-38.115,93.312
59,59,185,70,1.7706,-8.7302,37.772,-38.028,84.18
