A,B,C,D,E,F,G,H,I
15,15,160,71,1.4037,19.555,21.488,-24.391,741.3
16,16,160,71,1.4037,18.501,21.82,-23.929,733.48
17,17,160,71,1.4037,17.472,21.916,-23.201,717.13
18,18,160,71,1.4037,16.451,21.966,-22.423,694.64
19,19,160,71,1.4037,15.475,21.851,-21.473,668.63
20,20,160,71,1.4037,14.516,21.683,-20.491,641.41
21,21,160,71,1.4037,13.588,21.418,-19.454,614.74
22,22,160,71,1.4037,12.668,21.072,-18.43,589.79
23,23,160,71,1.4037,11.754,20.667,-17.418,567.26
24,24,160,71,1.4037,10.799,20.15,-16.503,547.66
25,25,160,71,1.4037,9.8341,19.603,-15.614,531.32
26,26,160,71,1.4037,8.7507,18.932,-14.919,518.55
27,27,160,71,1.4037,7.6345,18.241,-14.271,509.61
28,28,160,71,1.4037,6.398,17.481,-13.796,504.75
29,29,160,71,1.4037,5.0971,16.694,-13.41,504.14
30,30,160,71,1.4037,3.7106,15.872,-13.142,507.9
31,31,160,71,1.4037,2.2453,15.019,-12.983,516.04
32,32,160,71,1.4037,0.73635,14.147,-12.884,528.37
33,33,160,71,1.4037,-0.83945,13.246,-12.891,544.54
34,34,160,71,1.4037,-2.4275,12.34,-12.918,563.98
35,35,160,71,1.4037,-4.0295,11.443,-13.003,585.97
36,36,160,71,1.4037,-5.6148,10.573,-13.085,609.72
37,37,160,71,1.4037,-7.1583,9.7702,-13.161,634.42
38,38,160,71,1.4037,-8.6413,9.0599,-13.204,659.36
39,39,160,71,1.4037,-10.064,8.4424,-13.214,683.99
40,40,160,71,1.4037,-11.374,8.0035,-13.152,707.89
41,41,160,71,1.4037,-12.639,7.6361,-13.062,730.8
42,42,160,71,1.4037,-13.749,7.5203,-12.873,752.55
43,43,160,71,1.4037,-14.823,7.4604,-12.663,772.96
44,44,160,71,1.4037,-15.756,7.6192,-12.378,791.65
45,45,160,71,1.4037,-16.631,7.8561,-12.079,807.87
46,46,160,71,1.4037,-17.404,8.2334,-11.755,820.34
47,47,160,71,1.4037,-18.088,8.7141,-11.459,827.04
48,48,160,71,1.4037,-18.705,9.2722,-11.183,825.29
49,49,160,71,1.4037,-19.202,9.9596,-11.042,811.94
50,50,160,71,1.4037,-19.665,10.682,-10.937,783.92
51,51,160,71,1.4037,-19.97,11.591,-11.144,739
52,52,160,71,1.4037,-20.239,12.552,-11.448,676.7
53,53,160,71,1.4037,-20.375,13.707,-12.101,599.05
54,54,160,71,1.4037,-20.433,15.002,-12.985,510.94
55,55,160,71,1.4037,-20.388,16.485,-14.176,419.72
56,56,160,71,1.4037,-20.221,18.224,-15.719,334.01
57,57,160,71,1.4037,-19.986,20.104,-17.457,261.86
58,58,160,71,1.4037,-19.582,22.34,-19.566,208.68
59,59,160,71,1.4037,-19.136,24.659,-21.75,175.71
60,60,160,71,1.4037,-18.505,27.306,-24.107,159.74
61,61,160,71,1.4037,-17.818,30.013,-26.424,0
62,62,160,71,1.4037,-16.988,32.872,-28.641,0
63,63,160,71,1.4037,-16.062,35.747,-30.642,0
64,64,160,71,1.4037,-15.039,38.637,-32.426,0
65,65,160,71,1.4037,-13.884,41.421,-33.769,0
66,66,160,71,1.4037,-12.676,44.162,-34.935,0
67,67,160,71,1.4037,-11.307,46.626,-35.467,0
68,68,160,71,1.4037,-9.9024,49.013,-35.855,0
69,69,160,71,1.4037,-8.3604,51.056,-35.671,0
70,70,160,71,1.4037,-6.766,52.938,-35.273,0
71,71,160,71,1.4037,-5.0773,54.531,-34.49,0
72,72,160,71,1.4037,-3.3157,55.862,-33.437,0
73,73,160,71,1.4037,-1.4994,56.997,-32.182,0
74,74,160,71,1.4037,0.39341,57.789,-30.705,0
75,75,160,71,1.4037,2.307,58.488,-29.166,0
76,76,160,71,1.4037,4.2699,58.777,-27.576,0
77,77,160,71,1.4037,6.2284,58.981,-26.021,0
78,78,160,71,1.4037,8.1709,58.869,-24.592,0
79,79,160,71,1.4037,10.067,58.575,-23.288,0
80,80,160,71,1.4037,11.9,58.039,-22.152,0
81,81,160,71,1.4037,13.601,57.194,-21.224,0
82,82,160,71,1.4037,15.229,56.177,-20.412,0
83,83,160,71,1.4037,16.608,54.685,-19.847,0
84,84,160,71,1.4037,17.919,53.069,-19.34,0
85,85,160,71,1.4037,18.908,50.878,-19.042,0
86,86,160,71,1.4037,19.792,48.506,-18.788,0
87,87,160,71,1.4037,20.418,45.68,-18.648,0
88,88,160,71,1.4037,20.876,42.571,-18.562,0
89,89,160,71,1.4037,21.168,39.179,-18.532,0
90,90,160,71,1.4037,21.27,35.516,-18.572,0
91,91,160,71,1.4037,21.296,31.745,-18.64,0
92,92,160,71,1.4037,21.166,27.898,-18.83,0
93,93,160,71,1.4037,21.015,24.086,-19.053,0
94,94,160,71,1.4037,20.814,20.52,-19.417,0
95,95,160,71,1.4037,20.628,17.185,-19.828,0
96,96,160,71,1.4037,20.47,14.264,-20.323,0
97,97,160,71,1.4037,20.378,11.868,-20.831,0
98,98,160,71,1.4037,20.336,9.8655,-21.346,0
99,99,160,71,1.4037,20.404,8.6887,-21.787,0
100,100,160,71,1.4037,20.503,7.737,-22.208,0
0,0,160,71,1.498,26.745,10.42,-20.409,23.769
1,1,160,71,1.498,26.774,10.501,-20.47,167.26
2,2,160,71,1.498,26.782,10.663,-20.53,305.81
3,3,160,71,1.498,26.664,11.291,-20.586,426.33
4,4,160,71,1.498,26.497,12.036,-20.653,520.68
5,5,160,71,1.498,26.21,13.055,-20.744,587.09
6,6,160,71,1.498,25.843,14.165,-20.86,629.44
7,7,160,71,1.498,25.375,15.388,-21.009,655.07
8,8,160,71,1.498,24.801,16.613,-21.185,672.02
9,9,160,71,1.498,24.152,17.839,-21.381,686.63
10,10,160,71,1.498,23.38,18.934,-21.577,702.25
11,11,160,71,1.498,22.565,19.983,-21.773,718.99
12,12,160,71,1.498,21.631,20.763,-21.909,734.57
13,13,160,71,1.498,20.678,21.496,-22.033,745.62
14,14,160,71,1.498,19.641,21.898,-22.019,749
15,15,160,71,1.498,18.597,22.242,-21.965,742.82
16,16,160,71,1.498,17.522,22.337,-21.739,726.86
17,17,160,71,1.498,16.448,22.356,-21.431,702.54
18,18,160,71,1.498,15.376,22.224,-20.96,672.33
19,19,160,71,1.498,14.317,22.018,-20.383,639.17
20,20,160,71,1.498,13.271,21.732,-19.69,605.81
21,21,160,71,1.498,12.242,21.372,-18.91,574.37
22,22,160,71,1.498,11.222,20.97,-18.077,546.25
23,23,160,71,1.498,10.2,20.482,-17.223,522.14
24,24,160,71,1.498,9.1768,19.969,-16.362,502.26
25,25,160,71,1.498,8.1087,19.358,-15.576,486.57
26,26,160,71,1.498,7.0303,18.733,-14.808,475.02
27,27,160,71,1.498,5.8698,18.026,-14.182,467.65
28,28,160,71,1.498,4.6846,17.304,-13.598,464.66
29,29,160,71,1.498,3.4133,16.528,-13.157,466.35
30,30,160,71,1.498,2.0979,15.727,-12.782,473.09
31,31,160,71,1.498,0.7073,14.883,-12.519,485.13
32,32,160,71,1.498,-0.74153,13.998,-12.329,502.51
33,33,160,71,1.498,-2.2445,13.074,-12.209,524.98
34,34,160,71,1.498,-3.798,12.106,-12.138,551.98
35,35,160,71,1.498,-5.3767,11.116,-12.092,582.66
36,36,160,71,1.498,-6.9617,10.133,-12.034,615.98
37,37,160,71,1.498,-8.548,9.1501,-11.974,650.77
38,38,160,71,1.498,-10.068,8.2857,-11.825,685.84
39,39,160,71,1.498,-11.571,7.4521,-11.659,720.14
40,40,160,71,1.498,-12.957,6.829,-11.383,752.76
41,41,160,71,1.498,-14.296,6.2891,-11.078,783
42,42,160,71,1.498,-15.503,5.9865,-10.695,810.31
43,43,160,71,1.498,-16.622,5.8339,-10.296,834.1
44,44,160,71,1.498,-17.612,5.8995,-9.8741,853.61
45,45,160,71,1.498,-18.468,6.1761,-9.4914,867.64
46,46,160,71,1.498,-19.216,6.6216,-9.1401,874.46
47,47,160,71,1.498,-19.786,7.3219,-8.9386,871.71
48,48,160,71,1.498,-20.282,8.1295,-8.8,856.67
49,49,160,71,1.498,-20.564,9.2236,-8.9689,826.66
50,50,160,71,1.498,-20.809,10.367,-9.1914,779.76
51,51,160,71,1.498,-20.795,11.844,-9.8949,715.67
52,52,160,71,1.498,-20.785,13.327,-10.678,636.36
53,53,160,71,1.498,-20.796,14.852,-11.917,546.5
54,54,160,71,1.498,-20.808,16.412,-13.317,453.07
55,55,160,71,1.498,-20.824,18.055,-15.098,364.36
56,56,160,71,1.498,-20.796,19.815,-17.086,288.3
57,57,160,71,1.498,-20.714,21.72,-19.333,230.57
58,58,160,71,1.498,-20.518,23.823,-21.733,193.08
59,59,160,71,1.498,-20.245,26.061,-24.237,173.48
60,60,160,71,1.498,-19.759,28.547,-26.688,166.16
61,61,160,71,1.498,-19.199,31.119,-29.121,0
62,62,160,71,1.498,-18.273,33.959,-31.18,0
63,63,160,71,1.498,-17.283,36.838,-33.167,0
64,64,160,71,1.498,-15.844,39.866,-34.516,0
65,65,160,71,1.498,-14.374,42.828,-35.727,0
66,66,160,71,1.498,-12.766,45.499,-36.334,0
67,67,160,71,1.498,-11.117,48.008,-36.699,0
68,68,160,71,1.498,-9.3894,50.194,-36.58,0
69,69,160,71,1.498,-7.6215,52.114,-36.147,0
70,70,160,71,1.498,-5.8102,53.746,-35.377,0
71,71,160,71,1.498,-3.9599,55.023,-34.283,0
72,72,160,71,1.498,-2.0865,56.091,-33,0
73,73,160,71,1.498,-0.17961,56.74,-31.483,0
74,74,160,71,1.498,1.7369,57.269,-29.9,0
75,75,160,71,1.498,3.6626,57.337,-28.279,0
76,76,160,71,1.498,5.5856,57.333,-26.669,0
77,77,160,71,1.498,7.4648,56.893,-25.235,0
78,78,160,71,1.498,9.3162,56.349,-23.873,0
79,79,160,71,1.498,11.07,55.442,-22.762,0
80,80,160,71,1.498,12.746,54.353,-21.778,0
81,81,160,71,1.498,14.291,52.958,-21.01,0
82,82,160,71,1.498,15.692,51.293,-20.395,0
83,83,160,71,1.498,16.959,49.378,-19.923,0
84,84,160,71,1.498,18.012,47.106,-19.602,0
85,85,160,71,1.498,18.959,44.656,-19.357,0
86,86,160,71,1.498,19.641,41.796,-19.241,0
87,87,160,71,1.498,20.262,38.842,-19.155,0
88,88,160,71,1.498,20.598,35.51,-19.174,0
89,89,160,71,1.498,20.896,32.144,-19.207,0
90,90,160,71,1.498,20.984,28.618,-19.324,0
91,91,160,71,1.498,21.032,25.121,-19.471,0
92,92,160,71,1.498,20.965,21.71,-19.707,0
93,93,160,71,1.498,20.872,18.478,-19.998,0
94,94,160,71,1.498,20.743,15.509,-20.369,0
95,95,160,71,1.498,20.628,12.946,-20.79,0
96,96,160,71,1.498,20.523,10.707,-21.251,0
97,97,160,71,1.498,20.48,9.1158,-21.705,0
98,98,160,71,1.498,20.463,7.7966,-22.155,0
99,99,160,71,1.498,20.536,7.3022,-22.524,0
100,100,160,71,1.498,20.625,6.9512,-22.879,0
0,0,160,71,1.0326,19.073,7.9613,-26.28,102.79
1,1,160,71,1.0326,19.215,9.3251,-26.498,168.35
2,2,160,71,1.0326,19.3,10.724,-26.687,235.31
3,3,160,71,1.0326,19.324,12.145,-26.838,295.84
4,4,160,71,1.0326,19.214,13.504,-26.86,345.18
5,5,160,71,1.0326,18.98,14.751,-26.728,381.96
6,6,160,71,1.0326,18.639,15.891,-26.455,407.58
7,7,160,71,1.0326,18.132,16.843,-25.949,425.41
8,8,160,71,1.0326,17.478,17.602,-25.227,439.84
9,9,160,71,1.0326,16.732,18.223,-24.368,455.11
10,10,160,71,1.0326,15.883,18.676,-23.358,474.33
11,11,160,71,1.0326,14.972,18.961,-22.254,498.81
12,12,160,71,1.0326,14.053,19.162,-21.133,528.15
13,13,160,71,1.0326,13.138,19.283,-20.01,560.79
14,14,160,71,1.0326,12.294,19.326,-18.954,594.63
15,15,160,71,1.0326,11.505,19.344,-17.954,627.48
16,16,160,71,1.0326,10.773,19.338,-17.012,657.16
17,17,160,71,1.0326,10.124,19.297,-16.173,681.55
18,18,160,71,1.0326,9.4956,19.223,-15.398,698.74
19,19,160,71,1.0326,8.8722,19.114,-14.678,707.45
20,20,160,71,1.0326,8.2098,18.937,-14.036,707.52
21,21,160,71,1.0326,7.4591,18.682,-13.453,700.21
22,22,160,71,1.0326,6.6258,18.362,-12.914,687.86
23,23,160,71,1.0326,5.6604,17.944,-12.432,673.29
24,24,160,71,1.0326,4.5349,17.407,-12.014,658.97
25,25,160,71,1.0326,3.3083,16.785,-11.643,646.49
26,26,160,71,1.0326,1.9689,16.062,-11.328,636.51
27,27,160,71,1.0326,0.51794,15.203,-11.095,628.95
28,28,160,71,1.0326,-0.96573,14.279,-10.906,623.39
29,29,160,71,1.0326,-2.4745,13.293,-10.759,619.4
30,30,160,71,1.0326,-3.9544,12.26,-10.657,616.7
31,31,160,71,1.0326,-5.3824,11.248,-10.556,615.2
32,32,160,71,1.0326,-6.7555,10.266,-10.454,614.92
33,33,160,71,1.0326,-8.0131,9.3891,-10.323,615.96
34,34,160,71,1.0326,-9.1747,8.6383,-10.158,618.49
35,35,160,71,1.0326,-10.258,8.001,-9.9653,622.66
36,36,160,71,1.0326,-11.234,7.5463,-9.7335,628.68
37,37,160,71,1.0326,-12.117,7.2855,-9.4764,636.78
38,38,160,71,1.0326,-12.939,7.1636,-9.2074,647.25
39,39,160,71,1.0326,-13.692,7.2131,-8.9291,660.37
40,40,160,71,1.0326,-14.366,7.4699,-8.6476,676.28
41,41,160,71,1.0326,-14.991,7.8499,-8.3628,694.87
42,42,160,71,1.0326,-15.566,8.3569,-8.0743,715.55
43,43,160,71,1.0326,-16.052,9.0526,-7.774,737.24
44,44,160,71,1.0326,-16.484,9.839,-7.4741,758.45
45,45,160,71,1.0326,-16.861,10.713,-7.1791,777.51
46,46,160,71,1.0326,-17.143,11.702,-6.9378,792.84
47,47,160,71,1.0326,-17.365,12.747,-6.802,803.13
48,48,160,71,1.0326,-17.535,13.836,-6.7866,807.22
49,49,160,71,1.0326,-17.634,14.979,-7.0404,803.85
50,50,160,71,1.0326,-17.683,16.174,-7.6517,791.35
51,51,160,71,1.0326,-17.696,17.42,-8.5712,767.45
52,52,160,71,1.0326,-17.663,18.749,-9.9439,729.51
53,53,160,71,1.0326,-17.569,20.231,-11.872,675.18
54,54,160,71,1.0326,-17.422,21.842,-14.141,603.59
55,55,160,71,1.0326,-17.208,23.614,-16.781,516.74
56,56,160,71,1.0326,-16.847,25.681,-19.77,420.53
57,57,160,71,1.0326,-16.37,27.934,-22.808,324.57
58,58,160,71,1.0326,-15.77,30.375,-25.861,240.18
59,59,160,71,1.0326,-14.906,33.127,-28.603,176.87
60,60,160,71,1.0326,-13.869,36.016,-30.99,138.53
61,61,160,71,1.0326,-12.669,39.015,-33.016,0
62,62,160,71,1.0326,-11.219,42.086,-34.368,0
63,63,160,71,1.0326,-9.6088,45.073,-35.172,0
64,64,160,71,1.0326,-7.8881,47.938,-35.547,0
65,65,160,71,1.0326,-6.0506,50.536,-35.348,0
66,66,160,71,1.0326,-4.1709,52.709,-34.65,0
67,67,160,71,1.0326,-2.2915,54.539,-33.65,0
68,68,160,71,1.0326,-0.43636,55.918,-32.323,0
69,69,160,71,1.0326,1.3281,56.655,-30.729,0
70,70,160,71,1.0326,3.0213,57.004,-29.06,0
71,71,160,71,1.0326,4.6374,56.96,-27.339,0
72,72,160,71,1.0326,6.1171,56.327,-25.715,0
73,73,160,71,1.0326,7.5317,55.439,-24.212,0
74,74,160,71,1.0326,8.8841,54.309,-22.838,0
75,75,160,71,1.0326,10.156,52.885,-21.712,0
76,76,160,71,1.0326,11.387,51.315,-20.755,0
77,77,160,71,1.0326,12.582,49.627,-19.939,0
78,78,160,71,1.0326,13.724,47.781,-19.315,0
79,79,160,71,1.0326,14.799,45.775,-18.854,0
80,80,160,71,1.0326,15.811,43.633,-18.516,0
81,81,160,71,1.0326,16.725,41.3,-18.336,0
82,82,160,71,1.0326,17.481,38.699,-18.354,0
83,83,160,71,1.0326,18.118,35.918,-18.501,0
84,84,160,71,1.0326,18.617,32.933,-18.792,0
85,85,160,71,1.0326,18.896,29.669,-19.285,0
86,86,160,71,1.0326,19.058,26.294,-19.872,0
87,87,160,71,1.0326,19.109,22.823,-20.544,0
88,88,160,71,1.0326,19.016,19.352,-21.294,0
89,89,160,71,1.0326,18.881,16.033,-22.028,0
90,90,160,71,1.0326,18.718,12.893,-22.736,0
91,91,160,71,1.0326,18.565,10.2,-23.337,0
92,92,160,71,1.0326,18.467,8.0207,-23.804,0
93,93,160,71,1.0326,18.423,6.274,-24.164,0
94,94,160,71,1.0326,18.471,5.1642,-24.369,0
95,95,160,71,1.0326,18.619,4.7176,-24.45,0
96,96,160,71,1.0326,18.825,4.6891,-24.478,0
97,97,160,71,1.0326,19.093,5.1283,-24.465,0
98,98,160,71,1.0326,19.395,6.0517,-24.483,0
99,99,160,71,1.0326,19.688,7.184,-24.547,0
100,100,160,71,1.0326,19.967,8.5055,-24.662,0
0,0,186,71,1.8725,46.615,14.096,-19.064,11.535
1,1,186,71,1.8725,46.907,16.221,-20.336,162.86
2,2,186,71,1.8725,47.398,17.924,-22.155,304.04
3,3,186,71,1.8725,48.091,19.745,-23.606,422.35
4,4,186,71,1.8725,48.833,22.051,-24.349,516.31
5,5,186,71,1.8725,49.395,24.66,-24.569,593.33
6,6,186,71,1.8725,49.597,27.057,-24.376,663.74
7,7,186,71,1.8725,49.416,28.926,-23.551,734.65
8,8,186,71,1.8725,49.003,30.398,-21.919,806.74
9,9,186,71,1.8725,48.549,31.759,-19.748,874.75
10,10,186,71,1.8725,48.145,33.057,-17.598,930.54
11,11,186,71,1.8725,47.743,34.09,-15.869,966.84
12,12,186,71,1.8725,47.232,34.661,-14.623,979.73
13,13,186,71,1.8725,46.526,34.736,-13.705,969.59
14,14,186,71,1.8725,45.589,34.407,-12.934,940.31
15,15,186,71,1.8725,44.418,33.807,-12.223,897.74
16,16,186,71,1.8725,43.035,33.044,-11.591,847.91
17,17,186,71,1.8725,41.473,32.162,-11.095,795.66
18,18,186,71,1.8725,39.75,31.154,-10.721,744.12
19,19,186,71,1.8725,37.875,30,-10.354,694.8
20,20,186,71,1.8725,35.896,28.72,-9.8668,648.25
21,21,186,71,1.8725,33.943,27.383,-9.2498,604.64
22,22,186,71,1.8725,32.156,26.074,-8.6151,564.2
23,23,186,71,1.8725,30.55,24.833,-8.0914,527.38
24,24,186,71,1.8725,28.979,23.618,-7.7422,494.81
25,25,186,71,1.8725,27.271,22.349,-7.5461,467.01
26,26,186,71,1.8725,25.382,20.962,-7.4229,444.24
27,27,186,71,1.8725,23.402,19.411,-7.3117,426.35
28,28,186,71,1.8725,21.419,17.663,-7.2353,412.73
29,29,186,71,1.8725,19.432,15.719,-7.2426,402.5
30,30,186,71,1.8725,17.415,13.681,-7.3033,394.77
31,31,186,71,1.8725,15.388,11.717,-7.3197,388.98
32,32,186,71,1.8725,13.39,9.9399,-7.2298,385.08
33,33,186,71,1.8725,11.408,8.3345,-7.0562,383.71
34,34,186,71,1.8725,9.3926,6.817,-6.8693,386.08
35,35,186,71,1.8725,7.3543,5.3587,-6.7304,393.82
36,36,186,71,1.8725,5.3745,4.0405,-6.6553,408.66
37,37,186,71,1.8725,3.5152,3.0071,-6.6096,432.06
38,38,186,71,1.8725,1.7803,2.3806,-6.5309,464.84
39,39,186,71,1.8725,0.19469,2.2139,-6.3561,506.86
40,40,186,71,1.8725,-1.1561,2.4942,-6.0415,556.82
41,41,186,71,1.8725,-2.2107,3.1619,-5.5986,612.33
42,42,186,71,1.8725,-3.0074,4.1422,-5.1271,670.18
43,43,186,71,1.8725,-3.6367,5.3731,-4.7865,726.66
44,44,186,71,1.8725,-4.1458,6.8014,-4.7086,777.9
45,45,186,71,1.8725,-4.5192,8.3771,-4.9461,820.03
46,46,186,71,1.8725,-4.75,10.083,-5.5096,849.17
47,47,186,71,1.8725,-4.9034,11.965,-6.3997,861.38
48,48,186,71,1.8725,-5.0894,14.09,-7.5708,852.77
49,49,186,71,1.8725,-5.3527,16.475,-8.9397,820
50,50,186,71,1.8725,-5.5793,19.062,-10.51,761.26
51,51,186,71,1.8725,-5.5359,21.78,-12.48,677.47
52,52,186,71,1.8725,-5.0577,24.607,-15.17,573.39
53,53,186,71,1.8725,-4.2158,27.569,-18.773,457.83
54,54,186,71,1.8725,-3.2339,30.699,-23.106,342.61
55,55,186,71,1.8725,-2.2303,34.025,-27.599,240
56,56,186,71,1.8725,-1.1326,37.54,-31.691,159.52
57,57,186,71,1.8725,-0.051231,41.231,-35.227,105.38
58,58,186,71,1.8725,1.1202,44.963,-38.523,75.605
59,59,186,71,1.8725,2.7892,48.611,-41.718,63.419
60,60,186,71,1.8725,4.5518,52.235,-44.031,60.415
61,61,186,71,1.8725,6.4864,55.78,-44.563,0
62,62,186,71,1.8725,8.6551,59.1,-43.01,0
63,63,186,71,1.8725,10.973,61.996,-39.891,0
64,64,186,71,1.8725,13.275,64.388,-36.203,0
65,65,186,71,1.8725,15.478,66.35,-32.895,0
66,66,186,71,1.8725,17.621,67.965,-30.416,0
67,67,186,71,1.8725,19.752,69.193,-28.678,0
68,68,186,71,1.8725,21.847,69.932,-27.383,0
69,69,186,71,1.8725,23.861,70.167,-26.306,0
70,70,186,71,1.8725,25.786,69.989,-25.327,0
71,71,186,71,1.8725,27.639,69.497,-24.324,0
72,72,186,71,1.8725,29.42,68.69,-23.161,0
73,73,186,71,1.8725,31.111,67.51,-21.778,0
74,74,186,71,1.8725,32.703,65.94,-20.274,0
75,75,186,71,1.8725,34.193,64.025,-18.836,0
76,76,186,71,1.8725,35.573,61.818,-17.614,0
77,77,186,71,1.8725,36.827,59.334,-16.637,0
78,78,186,71,1.8725,37.941,56.58,-15.836,0
79,79,186,71,1.8725,38.903,53.577,-15.163,0
80,80,186,71,1.8725,39.698,50.322,-14.702,0
81,81,186,71,1.8725,40.306,46.763,-14.626,0
82,82,186,71,1.8725,40.708,42.846,-15.002,0
83,83,186,71,1.8725,40.907,38.61,-15.665,0
84,84,186,71,1.8725,40.926,34.189,-16.338,0
85,85,186,71,1.8725,40.814,29.735,-16.877,0
86,86,186,71,1.8725,40.643,25.359,-17.355,0
87,87,186,71,1.8725,40.491,21.156,-17.886,0
88,88,186,71,1.8725,40.41,17.226,-18.438,0
89,89,186,71,1.8725,40.415,13.669,-18.886,0
90,90,186,71,1.8725,40.512,10.565,-19.225,0
91,91,186,71,1.8725,40.719,7.9903,-19.585,0
92,92,186,71,1.8725,41.047,6.0437,-19.931,0
93,93,186,71,1.8725,41.48,4.8713,-19.874,0
94,94,186,71,1.8725,41.983,4.5955,-19.476,0
95,95,186,71,1.8725,42.52,5.144,-19.076,0
96,96,186,71,1.8725,43.044,6.2576,-18.694,0
97,97,186,71,1.8725,43.471,7.7029,-18.154,0
98,98,186,71,1.8725,43.686,9.3478,-17.26,0
99,99,186,71,1.8725,43.634,11.066,-16.23,0
100,100,186,71,1.8725,43.451,12.665,-15.928,0
0,0,186,71,1.2307,40.061,13.869,-18.394,-6.8371
1,1,186,71,1.2307,40.082,14.794,-19.058,129.61
2,2,186,71,1.2307,40.244,15.183,-20.199,239.01
3,3,186,71,1.2307,40.474,15.442,-21.24,308.27
4,4,186,71,1.2307,40.643,16.244,-22.105,344.55
5,5,186,71,1.2307,40.718,17.796,-22.99,367.95
6,6,186,71,1.2307,40.66,19.537,-23.784,399.33
7,7,186,71,1.2307,40.351,20.796,-24.085,450.56
8,8,186,71,1.2307,39.801,21.515,-23.552,521.19
9,9,186,71,1.2307,39.183,22.105,-22.212,601.09
10,10,186,71,1.2307,38.633,22.818,-20.551,676.57
11,11,186,71,1.2307,38.134,23.558,-19.027,736.42
12,12,186,71,1.2307,37.648,24.21,-17.712,775.17
13,13,186,71,1.2307,37.168,24.838,-16.455,793.19
14,14,186,71,1.2307,36.574,25.362,-15.273,794.63
15,15,186,71,1.2307,35.668,25.413,-14.384,784.72
16,16,186,71,1.2307,34.402,24.793,-13.931,767.89
17,17,186,71,1.2307,33.004,23.948,-13.695,746.98
18,18,186,71,1.2307,31.636,23.292,-13.376,723.66
19,19,186,71,1.2307,30.281,22.683,-12.846,699.12
20,20,186,71,1.2307,28.869,21.868,-12.133,674.54
21,21,186,71,1.2307,27.401,20.945,-11.369,651.15
22,22,186,71,1.2307,25.888,20.092,-10.75,629.94
23,23,186,71,1.2307,24.332,19.261,-10.391,611.5
24,24,186,71,1.2307,22.758,18.313,-10.189,596.01
25,25,186,71,1.2307,21.213,17.243,-9.997,583.33
26,26,186,71,1.2307,19.709,16.158,-9.8377,573.26
27,27,186,71,1.2307,18.217,15.115,-9.728,565.65
28,28,186,71,1.2307,16.708,14.055,-9.5355,560.52
29,29,186,71,1.2307,15.189,12.918,-9.1823,557.94
30,30,186,71,1.2307,13.725,11.779,-8.7953,557.97
31,31,186,71,1.2307,12.383,10.771,-8.5336,560.46
32,32,186,71,1.2307,11.149,9.9004,-8.3839,565.11
33,33,186,71,1.2307,9.9497,9.1012,-8.206,571.55
34,34,186,71,1.2307,8.7179,8.3764,-7.8997,579.41
35,35,186,71,1.2307,7.4556,7.8035,-7.4679,588.35
36,36,186,71,1.2307,6.2623,7.364,-6.9953,598.12
37,37,186,71,1.2307,5.2603,6.9977,-6.5479,608.49
38,38,186,71,1.2307,4.4329,6.6914,-6.1467,619.33
39,39,186,71,1.2307,3.6639,6.4947,-5.7732,630.62
40,40,186,71,1.2307,2.8481,6.4237,-5.38,642.55
41,41,186,71,1.2307,1.9888,6.4703,-4.9462,655.47
42,42,186,71,1.2307,1.2135,6.6782,-4.5205,669.83
43,43,186,71,1.2307,0.66801,7.1659,-4.1783,685.96
44,44,186,71,1.2307,0.35052,7.997,-3.9277,703.8
45,45,186,71,1.2307,0.10456,9.0902,-3.7112,722.55
46,46,186,71,1.2307,-0.19895,10.326,-3.5435,740.58
47,47,186,71,1.2307,-0.5481,11.636,-3.5446,755.72
48,48,186,71,1.2307,-0.84919,13.024,-3.8291,765.71
49,49,186,71,1.2307,-1.0971,14.459,-4.3748,768.72
50,50,186,71,1.2307,-1.4224,15.85,-5.1636,763.34
51,51,186,71,1.2307,-1.8539,17.173,-6.2067,748.14
52,52,186,71,1.2307,-2.1892,18.554,-7.549,721.15
53,53,186,71,1.2307,-2.2707,20.149,-9.0954,679.74
54,54,186,71,1.2307,-2.1905,22.001,-10.818,621.34
55,55,186,71,1.2307,-2.1456,23.986,-12.888,544.97
56,56,186,71,1.2307,-2.1881,25.986,-15.596,452.96
57,57,186,71,1.2307,-2.1983,28.014,-19.072,352.09
58,58,186,71,1.2307,-1.9447,30.242,-23.297,252.9
59,59,186,71,1.2307,-1.2439,32.905,-27.869,166.91
60,60,186,71,1.2307,-0.093654,36.145,-31.956,102.79
61,61,186,71,1.2307,1.391,39.907,-34.977,0
62,62,186,71,1.2307,3.1091,43.972,-37.42,0
63,63,186,71,1.2307,4.9996,48.064,-40.242,0
64,64,186,71,1.2307,6.9529,51.915,-43.412,0
65,65,186,71,1.2307,8.9043,55.369,-45.637,0
66,66,186,71,1.2307,10.911,58.442,-45.76,0
67,67,186,71,1.2307,12.978,61.073,-43.454,0
68,68,186,71,1.2307,14.84,63.218,-39.779,0
69,69,186,71,1.2307,16.563,64.917,-36.057,0
70,70,186,71,1.2307,18.377,66.366,-33.188,0
71,71,186,71,1.2307,20.295,67.585,-31.474,0
72,72,186,71,1.2307,22.236,68.483,-30.643,0
73,73,186,71,1.2307,24.137,69.015,-29.975,0
74,74,186,71,1.2307,25.951,69.215,-28.714,0
75,75,186,71,1.2307,27.665,69.006,-26.826,0
76,76,186,71,1.2307,29.297,68.295,-24.791,0
